SampleID	NumberID	Cohort	CohortLab	DietGroup	DietGroupLab	Type	TypeLab	Diet.Type	Sex	SexLab	Diet.Sex	Mouse	Project	MTB_Metabolon_source_file_name	MTB_SAMPLENAME	MTB_CLIENTIDENTIFIER	MTB_PARENTSAMPLEID	MTB_SAMPLENUMBER	MTB_GROUP	MTB_GROUPNUMBER	MTB_GROUPNAME2	MTB_TREATMENT	MTB_COLLECTIONSITE	MTB_COLONLOCATION	MTB_COMMENT	MTB_DIET	MTB_GENDER	MTB_INOCULUM	MTB_NORMALIZATION	MTB_NORMALIZE	MTB_VOLUMEEXTRACTEDUL	MTB_MASSEXTRACTED	MTB_RUNDAY	MTB_SAMPLEAMOUNT	MTB_SAMPLINGSITE	MTB_SUBJECTORANIMALID	MTB_TIMEPOINT	MTB_TXXDIET
FRB_4	94	AOM_DSS	A	Fermented_rice_bran	F	Blood_plasma	B	F.B	Male	M	F.M	FRB 4	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01217	FRB 4	4703761	23	Cancer fermented rice bran diet	6	AOM_DSS_F_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	FRB 4	end of study	not_applicable
FRB_6	95	AOM_DSS	A	Fermented_rice_bran	F	Blood_plasma	B	F.B	Male	M	F.M	FRB 6	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01218	FRB 6	4703762	24	Cancer fermented rice bran diet	6	AOM_DSS_F_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	FRB 6	end of study	not_applicable
FRB_7	96	AOM_DSS	A	Fermented_rice_bran	F	Blood_plasma	B	F.B	Male	M	F.M	FRB 7	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01219	FRB 7	4703763	25	Cancer fermented rice bran diet	6	AOM_DSS_F_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	FRB 7	end of study	not_applicable
FRB_8	97	AOM_DSS	A	Fermented_rice_bran	F	Blood_plasma	B	F.B	Male	M	F.M	FRB 8	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01220	FRB 8	4703764	26	Cancer fermented rice bran diet	6	AOM_DSS_F_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	FRB 8	end of study	not_applicable
FRB_9	98	AOM_DSS	A	Fermented_rice_bran	F	Blood_plasma	B	F.B	Male	M	F.M	FRB 9	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01221	FRB 9	4703765	27	Cancer fermented rice bran diet	6	AOM_DSS_F_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	FRB 9	end of study	not_applicable
FRB_16	99	AOM_DSS	A	Fermented_rice_bran	F	Blood_plasma	B	F.B	Male	M	F.M	FRB 16	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01222	FRB 16	4703766	28	Cancer fermented rice bran diet	6	AOM_DSS_F_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	FRB 16	end of study	not_applicable
FRB_17	100	AOM_DSS	A	Fermented_rice_bran	F	Blood_plasma	B	F.B	Male	M	F.M	FRB 17	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01223	FRB 17	4703767	29	Cancer fermented rice bran diet	6	AOM_DSS_F_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	FRB 17	end of study	not_applicable
FRB_18	101	AOM_DSS	A	Fermented_rice_bran	F	Blood_plasma	B	F.B	Male	M	F.M	FRB 18	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01224	FRB 18	4703768	30	Cancer fermented rice bran diet	6	AOM_DSS_F_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	FRB 18	end of study	not_applicable
C2_3_CO_P	102	GermFreeAOM_DSS	G	Control	C	colon_Proximal	P	C.P	Male	M	C.M	C2_3	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01278	C2_3_CO_P	5363839	1	NoInoculum AOMC P colon	1	not_applicable	AOM_DSS GFmice _  Control diet _ Proximal 	not_applicable	Proximal colon	Control No inoculum	Con	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
C3_5_CO_P	103	GermFreeAOM_DSS	G	Control	C	colon_Proximal	P	C.P	Female	F	C.F	C3_5	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01279	C3_5_CO_P	5363840	2	NoInoculum AOMC P colon	1	not_applicable	AOM_DSS GFmice _  Control diet _ Proximal 	not_applicable	Proximal colon	Control No inoculum	Con	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
C3_6_CO_P	104	GermFreeAOM_DSS	G	Control	C	colon_Proximal	P	C.P	Female	F	C.F	C3_6	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01280	C3_6_CO_P	5363841	3	NoInoculum AOMC P colon	1	not_applicable	AOM_DSS GFmice _  Control diet _ Proximal 	not_applicable	Proximal colon	Control No inoculum	Con	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
C3_7_CO_P	105	GermFreeAOM_DSS	G	Control	C	colon_Proximal	P	C.P	Female	F	C.F	C3_7	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01281	C3_7_CO_P	5363842	4	NoInoculum AOMC P colon	1	not_applicable	AOM_DSS GFmice _  Control diet _ Proximal 	not_applicable	Proximal colon	Control No inoculum	Con	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
C4_8_CO_P	106	GermFreeAOM_DSS	G	Control	C	colon_Proximal	P	C.P	Male	M	C.M	C4_8	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01282	C4_8_CO_P	5363843	5	NoInoculum AOMC P colon	1	not_applicable	AOM_DSS GFmice _  Control diet _ Proximal 	not_applicable	Proximal colon	Control No inoculum	Con	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
C4_9_CO_P	107	GermFreeAOM_DSS	G	Control	C	colon_Proximal	P	C.P	Male	M	C.M	C4_9	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01283	C4_9_CO_P	5363844	6	NoInoculum AOMC P colon	1	not_applicable	AOM_DSS GFmice _  Control diet _ Proximal 	not_applicable	Proximal colon	Control No inoculum	Con	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R1_12_CO_P	108	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Female	F	R.F	R1_12	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01284	R1_12_CO_P	5363845	7	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R1_13_CO_P	109	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Female	F	R.F	R1_13	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01285	R1_13_CO_P	5363846	8	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R1_14_CO_P	110	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Female	F	R.F	R1_14	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01286	R1_14_CO_P	5363847	9	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R1_15_CO_P	111	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Female	F	R.F	R1_15	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01287	R1_15_CO_P	5363848	10	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R2_16_CO_P	112	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Female	F	R.F	R2_16	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01288	R2_16_CO_P	5363849	11	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R2_17_CO_P	113	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Female	F	R.F	R2_17	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01289	R2_17_CO_P	5363850	12	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	F	None	0.5667	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R2_18_CO_P	114	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Female	F	R.F	R2_18	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01290	R2_18_CO_P	5363851	13	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R3_19_CO_P	115	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	R3_19	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01291	R3_19_CO_P	5363852	14	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R3_20_CO_P	116	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	R3_20	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01292	R3_20_CO_P	5363853	15	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R3_21_CO_P	117	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	R3_21	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01293	R3_21_CO_P	5363854	16	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R4_22_CO_P	118	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	R4_22	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01294	R4_22_CO_P	5363855	17	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R5_23_CO_P	119	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	R5_23	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01295	R5_23_CO_P	5363856	18	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	M	None	0.8	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R6_28_CO_P	120	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	R6_28	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01296	R6_28_CO_P	5363857	19	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R6_29_CO_P	121	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	R6_29	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01297	R6_29_CO_P	5363858	20	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
R6_31_CO_P	122	GermFreeAOM_DSS	G	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	R6_31	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01298	R6_31_CO_P	5363859	21	Rice bran No inoculum	3	not_applicable	AOM_DSS GFmice _ RB diet _ Proximal 	not_applicable	Proximal colon	Rice bran No inoculum	RB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_2_CO_P	123	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Female	F	F.F	FR_2	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01299	FR_2_CO_P	5363860	22	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_3_CO_P	124	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Female	F	F.F	FR_3	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01300	FR_3_CO_P	5363861	23	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_4_CO_P	125	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	FR_4	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01301	FR_4_CO_P	5363862	24	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_5_CO_P	126	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	FR_5	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01302	FR_5_CO_P	5363863	25	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_6_CO_P	127	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	FR_6	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01303	FR_6_CO_P	5363864	26	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_7_CO_P	128	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	FR_7	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01304	FR_7_CO_P	5363865	27	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_8_CO_P	129	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	FR_8	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01305	FR_8_CO_P	5363866	28	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_9_CO_P	130	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	FR_9	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01306	FR_9_CO_P	5363867	29	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_10_CO_P	131	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	FR_10	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01307	FR_10_CO_P	5363868	30	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_11_CO_P	132	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Female	F	F.F	FR_11	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01308	FR_11_CO_P	5363869	31	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_12_CO_P	133	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Female	F	F.F	FR_12	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01309	FR_12_CO_P	5363870	32	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_13_CO_P	134	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Female	F	F.F	FR_13	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01310	FR_13_CO_P	5363871	33	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_15_CO_P	135	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	FR_15	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01311	FR_15_CO_P	5363872	34	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_16_CO_P	136	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	FR_16	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01312	FR_16_CO_P	5363873	35	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
FR_17_CO_P	137	GermFreeAOM_DSS	G	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	FR_17	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01313	FR_17_CO_P	5363874	141	Fermented rice bran no inoculum	5	not_applicable	AOM_DSS GFmice _ FRB diet _ Proximal 	not_applicable	Proximal colon	Fermented rice bran no inoculum	FRB	.	None	0.8333	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
C2_3_CO_D	138	GermFreeAOM_DSS	G	Control	C	colon_Distal	D	C.D	Male	M	C.M	C2_3	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01314	C2_3_CO_D	5363875	36	Control No inoculum 	2	not_applicable	AOM_DSS GFmice _  Control diet _ Distal 	not_applicable	Distal colon	Control No inoculum 	Con	M	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
C3_5_CO_D	139	GermFreeAOM_DSS	G	Control	C	colon_Distal	D	C.D	Female	F	C.F	C3_5	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01315	C3_5_CO_D	5363876	37	Control No inoculum 	2	not_applicable	AOM_DSS GFmice _  Control diet _ Distal 	not_applicable	Distal colon	Control No inoculum 	Con	F	None	1	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
C3_6_CO_D	140	GermFreeAOM_DSS	G	Control	C	colon_Distal	D	C.D	Female	F	C.F	C3_6	Germ-Free Mouse Model of colitis-associate cancer	COSU-0109-17VWBL Client Data Tables and Stats Colon 8-24-18.xlsx	COSU-01316	C3_6_CO_D	5363877	38	Control No inoculum 	2	not_applicable	AOM_DSS GFmice _  Control diet _ Distal 	not_applicable	Distal colon	Control No inoculum 	Con	F	None	0.7333	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
